Price,Close,SMA_50,SMA_200,Signal_SMA,Action,ExecAction,Portfolio,Shares,Max Drawdown Amount,Max Drawdown Percent,Daily Return
Ticker,NVDA,,,,,,,,,,
Date,,,,,,,,,,,
2020-11-23,13.100749015808105,13.26999719619751,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-24,12.919045448303223,13.26933422088623,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-25,13.195215225219727,13.283696212768554,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-27,13.221637725830078,13.29960355758667,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-30,13.361468315124512,13.323776168823242,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-01,13.35000228881836,13.341179027557374,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-02,13.50404167175293,13.359259872436523,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-03,13.359930992126465,13.38470781326294,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-04,13.521743774414062,13.408920383453369,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-07,13.570111274719238,13.423616733551025,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-08,13.314053535461426,13.429976539611816,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-09,12.895934104919434,13.424170360565185,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-10,12.937322616577148,13.413115215301513,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-11,12.978214263916016,13.401202926635742,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-14,13.27291488647461,13.406196613311767,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-15,13.324524879455566,13.400652160644531,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-16,13.206846237182617,13.390879726409912,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-17,13.305329322814941,13.378540573120118,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-18,13.236265182495117,13.367317638397218,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-21,13.296351432800293,13.358811855316162,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-22,13.242496490478516,13.33999168395996,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-23,12.974222183227539,13.315362358093262,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-24,12.958763122558594,13.293474655151368,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-28,12.865267753601074,13.272214584350586,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-29,12.90839958190918,13.254977722167968,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-30,13.11035442352295,13.248036193847657,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-12-31,13.01984977722168,13.23633840560913,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-04,13.078191757202148,13.228215255737304,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-05,13.368657112121582,13.229166584014893,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-06,12.580535888671875,13.209784183502197,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-07,13.308070182800293,13.21390567779541,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-08,13.24100112915039,13.211591033935546,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-11,13.584822654724121,13.231501865386964,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-12,13.448441505432129,13.24076877593994,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-13,13.495315551757812,13.260743865966797,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-14,13.16470718383789,13.27317461013794,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-15,12.824877738952637,13.270059986114502,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-19,12.990178108215332,13.25480266571045,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-20,13.32976245880127,13.239043865203858,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-21,13.830161094665527,13.225277042388916,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-22,13.675578117370605,13.226987953186034,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-25,13.616488456726074,13.244680576324463,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-26,13.39907455444336,13.245103721618653,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-27,12.88296890258789,13.234432010650634,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-28,13.015859603881836,13.22960355758667,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-01-29,12.95477294921875,13.219201450347901,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-01,13.201359748840332,13.215585517883301,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-02,13.520249366760254,13.218217754364014,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-03,13.494070053100586,13.220097103118896,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-04,13.627458572387695,13.231673164367676,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-05,13.554407119750977,13.240746326446533,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-08,14.399874687194824,13.270362911224366,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-09,14.224843978881836,13.290955486297607,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-10,14.724496841430664,13.321012668609619,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-11,15.209686279296875,13.357977027893066,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-12,14.920966148376465,13.389396305084228,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-16,15.288972854614258,13.425094928741455,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-17,14.865866661071777,13.455213642120361,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-18,14.789072036743164,13.480560207366944,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-19,14.886311531066895,13.506884212493896,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-22,14.317097663879395,13.526945095062256,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-23,14.103921890258789,13.551104850769043,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-24,14.459959983825684,13.581557598114014,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-25,13.271666526794434,13.587426643371582,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-02-26,13.677573204040527,13.5955198097229,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-01,13.804478645324707,13.605118885040284,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-02,13.370152473449707,13.608385009765625,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-03,12.770275115966797,13.597683925628662,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-04,12.336941719055176,13.579697456359863,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-05,12.427947998046875,13.562329387664795,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-08,11.562032699584961,13.528720111846924,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-09,12.490850448608398,13.51905267715454,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-10,12.438969612121582,13.508656806945801,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-11,12.962986946105957,13.510611190795899,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2021-03-12,12.825809478759766,13.50895938873291,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
